Record ID,Store Name,Store Street Address,Additional Address,City,State,Zip Code,Zip4,County,Store Type,Latitude,Longitude,Incentive Program,Grantee Name
867209,Fine Fare Supermarket,2251 Main St,,Bridgeport,CT,6606,5314,FAIRFIELD,Super Store,41.193703,-73.198418,,
1600221,Food Bazaar,2145 Fairfield Ave,,Bridgeport,CT,6605,2639,FAIRFIELD,Super Store,41.163864,-73.217857,,
1242194,Food Bazaar 36,500 Sylvan Ave,,Bridgeport,CT,6606,3017,FAIRFIELD,Super Store,41.209667,-73.189407,,
1379436,Fresh Market Llc,866 North Ave,,Bridgeport,CT,6606,5708,FAIRFIELD,Grocery Store,41.192612,-73.196625,,
228922,Gala Foods Supermarket,1457 Fairfield Ave,,Bridgeport,CT,6605,1932,FAIRFIELD,Super Store,41.172264,-73.211037,,
1565921,Galaxia Mini Market,1729 Barnum Ave,,Bridgeport,CT,6610,3210,FAIRFIELD,Convenience Store,41.188942,-73.158272,,
1142997,Gas Station/small Shop 1,1789 Barnum Ave,,Bridgeport,CT,6610,3211,FAIRFIELD,Convenience Store,41.189209,-73.15741,,
1478902,Gomez Convenience Store,1437 Fairfield Ave,,Bridgeport,CT,6605,1928,FAIRFIELD,Convenience Store,41.172543,-73.210587,,
1440033,Gv Brasil Meat Market,2380 Main St,,Bridgeport,CT,6606,5339,FAIRFIELD,Convenience Store,41.195499,-73.19944,,
1421118,Hidalgo Market,175 Pequonnock St,,Bridgeport,CT,6604,3520,FAIRFIELD,Grocery Store,41.180939,-73.19812,,
1352399,International Farmers Market,2298 Main St,#,Bridgeport,CT,6606,5321,FAIRFIELD,Grocery Store,41.194405,-73.198273,,
829081,International Fish Market,2298A Main St,,Bridgeport,CT,6606,5321,FAIRFIELD,Specialty Store,41.194138,-73.198532,,
1494449,Jimenez Grocery,1779 E Main St,,Bridgeport,CT,6610,2001,FAIRFIELD,Convenience Store,41.199074,-73.180672,,
1427883,Jp Grocery & Deli,320 Palisade Ave,,Bridgeport,CT,6610,3402,FAIRFIELD,Convenience Store,41.197823,-73.164948,,
1135279,Junco 09,373 Harral Ave,,Bridgeport,CT,6604,3147,FAIRFIELD,Convenience Store,41.182449,-73.197975,,
1305335,Junco4 Castellanos Llc,891 Noble Ave,,Bridgeport,CT,6608,1020,FAIRFIELD,Grocery Store,41.193897,-73.183937,,
868802,Junco6 Market,701 Hallett St,,Bridgeport,CT,6608,,FAIRFIELD,Convenience Store,41.191017,-73.175514,,
1504821,Junco And Son 2,1367 Boston Ave,,Bridgeport,CT,6610,2616,FAIRFIELD,Convenience Store,41.19363,-73.168533,,
1101307,Junco & Daughter Market,533 Harral Ave,,Bridgeport,CT,6604,3107,FAIRFIELD,Grocery Store,41.184425,-73.197159,,
1486214,Junco Grocery Deli Llc,1427 Stratford Ave,,Bridgeport,CT,6607,1419,FAIRFIELD,Convenience Store,41.179405,-73.162926,,
291541,K & H FOOD STOP,1309 Fairfield Ave,,Bridgeport,CT,6605,1712,FAIRFIELD,Convenience Store,41.173801,-73.208809,,
1492389,Ki Brasil,1173 Madison Ave,,Bridgeport,CT,6606,4628,FAIRFIELD,Grocery Store,41.196854,-73.207603,,
889288,Krauszers Food,2579 Fairfield Ave,,Bridgeport,CT,6605,3038,FAIRFIELD,Convenience Store,41.160278,-73.223671,,
1215092,La Placita Latina Meat & Deli LLC,2634 Main St,,Bridgeport,CT,6606,5305,FAIRFIELD,Convenience Store,41.198456,-73.201469,,
1113584,Lasowiak Deli,2171 Boston Ave,,Bridgeport,CT,6610,3030,FAIRFIELD,Grocery Store,41.192566,-73.15435,,
1510388,Latino Market,2110 E Main St,,Bridgeport,CT,6610,1904,FAIRFIELD,Convenience Store,41.203461,-73.179001,,
1307559,Los Basilio Mini Market Llc,822 Madison Ave,,Bridgeport,CT,6606,5513,FAIRFIELD,Convenience Store,41.192581,-73.204613,,
